,no,city,district,url
161,7,新竹縣,關西鎮,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/10004000400000000.html
162,7,新竹縣,湖口鄉,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/10004000500000000.html
163,7,新竹縣,新豐鄉,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/10004000600000000.html
164,7,新竹縣,芎林鄉,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/10004000700000000.html
165,7,新竹縣,橫山鄉,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/10004000800000000.html
166,7,新竹縣,北埔鄉,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/10004000900000000.html
167,7,新竹縣,寶山鄉,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/10004001000000000.html
168,7,新竹縣,峨眉鄉,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/10004001100000000.html
169,7,新竹縣,尖石鄉,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/10004001200000000.html
170,7,新竹縣,五峰鄉,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/10004001300000000.html
171,7,苗栗縣,苗栗市,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/10005000100000000.html
172,7,苗栗縣,苑裡鎮,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/10005000200000000.html
173,7,苗栗縣,通霄鎮,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/10005000300000000.html
174,7,苗栗縣,竹南鎮,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/10005000400000000.html
175,7,苗栗縣,頭份市,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/10005000500000000.html
176,7,苗栗縣,後龍鎮,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/10005000600000000.html
177,7,苗栗縣,卓蘭鎮,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/10005000700000000.html
178,7,苗栗縣,大湖鄉,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/10005000800000000.html
179,7,苗栗縣,公館鄉,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/10005000900000000.html
180,7,苗栗縣,銅鑼鄉,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/10005001000000000.html
181,7,苗栗縣,南庄鄉,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/10005001100000000.html
182,7,苗栗縣,頭屋鄉,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/10005001200000000.html
183,7,苗栗縣,三義鄉,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/10005001300000000.html
184,7,苗栗縣,西湖鄉,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/10005001400000000.html
185,7,苗栗縣,造橋鄉,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/10005001500000000.html
186,7,苗栗縣,三灣鄉,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/10005001600000000.html
187,7,苗栗縣,獅潭鄉,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/10005001700000000.html
